cap.disk,mid,score,avl.cpu.min,util.cpu.max,util.cpu.avg,avl.mem.min,util.mem.max,util.mem.avg,avl.disk,util.disk,alv.p,inst.cnt,inst.list
2457,machine_3881,4.3,6,94%,78%,52,82%,81%,957,61%,6,25,"[40*2,60*21,80*2]"
2457,machine_3883,3.2,10,89%,68%,75,74%,73%,737,70%,7,22,"[40,60*15,80,100*4,300]"
2457,machine_3884,2.9,17,82%,67%,79,73%,72%,1117,55%,7,22,"[40*4,60*15,80,100*2]"
2457,machine_3885,4.4,1,99%,78%,48,83%,82%,1017,59%,5,23,"[40*5,60*13,80*2,100*3]"
2457,machine_3886,4.1,7,92%,77%,88,69%,68%,1217,50%,7,18,"[40*4,60*10,80,100*2,200]"
2457,machine_3888,3.8,11,88%,74%,39,87%,85%,857,65%,6,24,"[40*4,60*19,300]"
2457,machine_3889,3.4,5,95%,70%,34,88%,86%,617,75%,7,30,"[40*3,60*24,80,100*2]"
2457,machine_3891,2.9,11,88%,65%,30,90%,88%,537,78%,7,30,"[40*5,60*21,80*2,100,200]"
2457,machine_3892,3.7,9,90%,73%,70,76%,74%,997,59%,6,23,"[40,60*19,80,100*2]"
2457,machine_3893,4.2,6,93%,77%,24,92%,91%,637,74%,7,26,"[40,60*20,80,100*3,200]"
2457,machine_3894,3.8,7,93%,74%,39,86%,82%,547,78%,7,26,"[40*5,60*16,100*2,150,200*2]"
2457,machine_3895,4.3,4,96%,78%,43,85%,84%,677,72%,7,28,"[40*2,60*21,80*3,100*2]"
2457,machine_3896,3.7,2,98%,73%,64,78%,77%,1437,42%,4,16,"[40*2,60*11,80,100*2]"
2457,machine_3898,4.0,2,98%,76%,29,90%,88%,597,76%,7,27,"[40*3,60*19,100*4,200]"
2457,machine_3899,2.7,13,86%,65%,0,100%,97%,37,98%,6,28,"[40*4,60*17,80*3,100*2,200,600]"
2457,machine_3900,4.7,0,100%,81%,28,90%,89%,977,60%,6,23,"[40*4,60*16,80*2,200]"
2457,machine_3901,1.5,31,66%,53%,70,76%,75%,717,71%,5,23,"[60*16,80,100*5,200]"
2457,machine_3902,2.1,17,82%,56%,65,78%,76%,637,74%,7,27,"[40*4,60*21,200*2]"
2457,machine_3903,1.0,49,47%,34%,176,39%,38%,1877,24%,6,10,"[40*2,60*7,80]"
2457,machine_3904,1.3,33,64%,48%,19,94%,92%,797,68%,7,27,"[40*3,60*21,80,100*2]"
2457,machine_3905,1.5,29,68%,52%,114,60%,59%,1437,42%,6,16,"[40,60*13,100*2]"
2457,machine_3906,2.9,17,82%,66%,128,56%,55%,1317,46%,7,11,"[40*2,60*6,200*2,300]"
2457,machine_3907,1.0,40,56%,37%,79,72%,70%,1037,58%,6,23,"[60*21,80*2]"
2457,machine_3909,3.7,6,94%,73%,56,81%,79%,1377,44%,6,19,"[40*3,60*16]"
2457,machine_3910,2.9,13,86%,67%,18,94%,92%,457,81%,6,32,"[60*29,80*2,100]"
2457,machine_3911,1.8,22,76%,55%,17,94%,90%,907,63%,6,23,"[40,60*18,80,100*2,150]"
2457,machine_3913,1.5,30,68%,50%,46,84%,83%,797,68%,7,26,"[40,60*21,80*2,100*2]"
2457,machine_3914,3.8,4,96%,74%,39,87%,83%,767,69%,7,27,"[40*3,60*22,100,150]"
2457,machine_3915,2.4,16,83%,61%,30,90%,89%,657,73%,6,29,"[60*27,80,100]"
2457,machine_3916,2.5,12,87%,61%,31,89%,84%,577,77%,5,27,"[40*3,60*21,100,200*2]"
2457,machine_3918,2.2,17,81%,62%,61,79%,79%,777,68%,7,26,"[40*2,60*19,80*2,100*3]"
2457,machine_3920,2.5,18,81%,63%,41,86%,80%,897,63%,7,26,"[40*2,60*22,80*2]"
2457,machine_3923,2.5,20,78%,63%,50,83%,81%,1007,59%,7,21,"[40*3,60*15,80,150,200]"
2457,machine_3924,5.0,1,99%,83%,25,91%,86%,377,85%,7,28,"[60*22,80*2,100*2,200*2]"
2457,machine_3926,3.3,6,94%,70%,88,69%,69%,1137,54%,7,21,"[40,60*18,100*2]"
2457,machine_3928,4.7,4,96%,82%,32,89%,86%,557,77%,6,23,"[40,60*18,80,100*2,500]"
2457,machine_3930,4.9,5,95%,83%,26,91%,90%,317,87%,7,31,"[40*3,60*24,80,100,200*2]"
2457,machine_3931,3.6,9,91%,73%,28,90%,89%,637,74%,6,30,"[40*2,60*26,80,100]"
2457,machine_3935,2.8,17,81%,66%,21,93%,91%,737,70%,7,28,"[40,60*25,80,100]"
2457,machine_3936,3.0,19,80%,68%,39,87%,85%,437,82%,7,29,"[40,60*22,80*2,100*3,200]"
2457,machine_3937,3.8,6,93%,75%,49,83%,82%,757,69%,6,27,"[40*5,60*20,100,200]"
2457,machine_3939,4.0,8,91%,76%,30,90%,85%,427,83%,7,26,"[40,60*19,100*4,150,300]"
2457,machine_3940,3.7,1,99%,73%,12,96%,92%,227,91%,5,31,"[40,60*26,80,150,200*2]"
2457,machine_3941,1.5,30,68%,53%,17,94%,93%,457,81%,7,32,"[40*2,60*27,100*3]"
2457,machine_3942,2.2,18,80%,59%,41,86%,84%,697,72%,7,28,"[40*3,60*21,80,100*3]"
2457,machine_3943,4.6,1,99%,80%,6,98%,96%,297,88%,7,27,"[40,60*22,100*3,500]"
2457,machine_3946,3.6,8,92%,72%,13,95%,95%,387,84%,7,29,"[40*2,60*21,80,100*3,150,200]"
2457,machine_3947,2.2,16,83%,60%,21,93%,92%,657,73%,7,27,"[40*4,60*21,80,300]"
2457,machine_3948,3.5,11,88%,72%,43,85%,83%,657,73%,6,18,"[40,60*10,80*2,100*4,600]"
2457,machine_3949,3.9,6,93%,75%,67,77%,76%,897,63%,6,26,"[40,60*24,80]"
2457,machine_3950,4.3,3,97%,78%,120,58%,57%,1397,43%,7,15,"[40,60*12,100,200]"
2457,machine_3951,2.6,15,84%,63%,48,83%,83%,817,67%,6,24,"[40*2,60*18,80,100*2,200]"
2457,machine_3952,1.4,28,70%,49%,33,88%,87%,1037,58%,5,24,"[40*3,60*20,100]"
2457,machine_3953,3.6,2,98%,72%,14,95%,95%,1017,59%,4,25,"[40*3,60*22]"
2457,machine_3955,2.6,18,81%,64%,44,85%,83%,827,66%,6,24,"[40,60*18,80*2,100*2,150]"
2457,machine_3956,3.7,9,91%,73%,64,78%,76%,1017,59%,6,22,"[40,60*17,80,100*3]"
2457,machine_3957,2.8,12,87%,66%,69,76%,75%,777,68%,7,25,"[40*2,60*20,100*2,200]"
2457,machine_3958,3.6,6,93%,72%,48,83%,81%,957,61%,6,21,"[60*17,80,100*2,200]"
2457,machine_3959,3.9,5,94%,74%,41,86%,83%,897,63%,6,24,"[40,60*19,80,100*3]"
2457,machine_3960,3.6,1,99%,72%,9,97%,96%,830,66%,6,20,"[40*2,60*13,100*3,167,300]"
2457,machine_3961,4.5,4,96%,79%,16,94%,94%,577,77%,7,26,"[40,60*19,100*5,200]"
2457,machine_3963,3.9,6,94%,75%,55,81%,79%,777,68%,7,28,"[40*3,60*23,80,100]"
2457,machine_3965,3.2,6,93%,65%,24,92%,92%,977,60%,6,24,"[40*3,60*17,80*3,100]"
2457,machine_3967,2.3,13,86%,61%,70,76%,75%,1057,57%,7,21,"[40*3,60*14,80*3,200]"
2457,machine_3968,1.1,34,63%,43%,112,61%,60%,1397,43%,7,17,"[40*2,60*12,80*2,100]"
2457,machine_3969,4.0,11,88%,76%,80,72%,71%,1377,44%,7,18,"[40*2,60*15,100]"
2457,machine_3971,3.5,4,96%,71%,30,89%,85%,187,92%,7,34,"[40,60*27,80*2,100*3,150]"
2457,machine_3972,3.2,11,88%,69%,60,79%,78%,1097,55%,7,23,"[40*3,60*19,100]"
2457,machine_3973,2.6,14,84%,63%,47,84%,78%,877,64%,7,22,"[40*2,60*14,80*2,100*3,200]"
2457,machine_3975,2.7,18,80%,65%,19,93%,92%,397,84%,7,30,"[40,60*24,80,100*3,200]"
2457,machine_3976,3.3,12,87%,70%,20,93%,91%,337,86%,7,29,"[40,60*23,100*2,150*2,200]"
2457,machine_3978,3.5,13,86%,72%,32,89%,88%,517,79%,7,32,"[40,60*30,100]"
2457,machine_3979,2.3,18,80%,61%,72,75%,74%,1117,55%,6,22,"[40,60*20,100]"
2457,machine_3980,1.0,45,51%,37%,158,45%,44%,1597,35%,7,14,"[40*2,60*10,80,100]"
2457,machine_3981,2.5,15,84%,62%,17,94%,91%,217,91%,7,34,"[40,60*26,80*3,100*4]"
2457,machine_3982,1.8,27,70%,57%,27,90%,89%,497,80%,7,31,"[40*3,60*23,80*2,100*3]"
2457,machine_3983,4.9,1,99%,82%,96,67%,65%,1177,52%,6,18,"[40,60*14,100*2,200]"
2457,machine_3986,2.9,12,86%,65%,19,93%,91%,517,79%,7,29,"[40,60*24,80*2,100,200]"
2457,machine_3987,5.1,2,98%,84%,103,64%,53%,1197,51%,7,17,"[40,60*14,80,300]"
2457,machine_3991,1.8,29,69%,56%,34,88%,87%,557,77%,7,31,"[40*5,60*22,80,100*3]"
2457,machine_3992,3.9,6,93%,75%,24,92%,89%,577,77%,5,30,"[40*3,60*23,80,100*3]"
2457,machine_3994,3.8,3,97%,72%,55,81%,80%,987,60%,6,22,"[40*2,60*16,80,100*2,150]"
2457,machine_3995,4.7,1,99%,81%,31,89%,87%,437,82%,7,30,"[40*2,60*23,80*2,100*2,200]"
2457,machine_3996,2.4,19,79%,61%,72,75%,74%,857,65%,7,22,"[60*16,80*3,100*2,200]"
2457,machine_3999,4.3,1,99%,78%,2,99%,98%,197,92%,6,35,"[40,60*31,80*2,200]"
2457,machine_4000,2.8,8,91%,63%,30,89%,87%,417,83%,7,30,"[40,60*24,80*2,100*2,200]"
2457,machine_4001,3.7,5,94%,73%,115,60%,60%,1367,44%,6,14,"[40,60*10,100,150,200]"
2457,machine_4002,1.0,49,46%,30%,190,34%,33%,1777,28%,7,11,"[40,60*9,100]"
2457,machine_4003,3.3,18,80%,71%,62,78%,77%,1017,59%,7,25,"[40*5,60*19,100]"
2457,machine_4004,4.0,1,99%,75%,34,88%,84%,437,82%,7,32,"[40,60*28,100*3]"
2457,machine_4005,1.3,35,62%,50%,75,74%,73%,697,72%,6,24,"[40*2,60*17,80*2,100,200*2]"
2457,machine_4006,3.8,6,93%,73%,20,93%,92%,497,80%,7,30,"[40*2,60*25,80,100,200]"
2457,machine_4008,1.6,25,73%,55%,88,69%,69%,1257,49%,6,18,"[40*3,60*13,100,200]"
2457,machine_4009,1.3,33,65%,48%,44,85%,84%,757,69%,6,25,"[40*3,60*17,80*2,100*2,200]"
2457,machine_4014,2.0,29,68%,59%,75,74%,71%,637,74%,7,25,"[60*22,100*2,300]"
2457,machine_4015,2.5,19,80%,63%,58,80%,76%,777,68%,7,26,"[40*3,60*18,80,100*4]"
2457,machine_4016,2.8,8,91%,66%,104,64%,63%,1357,45%,7,14,"[40*3,60*8,100,200*2]"
2457,machine_4018,3.7,5,95%,73%,88,69%,68%,1297,47%,6,20,"[40*3,60*16,80]"
2457,machine_4019,1.5,26,72%,50%,97,66%,66%,1077,56%,6,22,"[40,60*19,100*2]"
2457,machine_4020,2.4,18,80%,63%,26,91%,87%,447,82%,6,29,"[40,60*22,100*5,150]"
2457,machine_4021,4.4,1,99%,78%,97,66%,65%,1217,50%,5,19,"[40*2,60*13,80,100*3]"
2457,machine_4022,2.9,14,84%,67%,79,72%,71%,1157,53%,7,19,"[60*15,100*4]"
2457,machine_4024,2.6,14,85%,64%,38,87%,86%,557,77%,6,27,"[40*3,60*18,100*5,200]"
2457,machine_4025,3.8,6,93%,74%,35,88%,86%,537,78%,7,31,"[40*5,60*22,100*4]"
2457,machine_4028,2.6,14,85%,63%,21,93%,92%,197,92%,7,31,"[40*2,60*25,80,100,200,300]"
2457,machine_4030,2.1,23,75%,60%,45,84%,83%,617,75%,6,27,"[40*2,60*21,100*3,200]"
2457,machine_4031,3.6,8,92%,70%,79,73%,70%,1257,49%,7,18,"[40*2,60*12,100*4]"
2457,machine_4032,2.2,23,75%,61%,28,90%,89%,537,78%,6,29,"[40,60*23,100*5]"
2457,machine_4033,1.3,34,63%,51%,23,92%,92%,877,64%,6,21,"[40,60*16,80,150*2,200]"
2457,machine_4034,1.0,42,54%,40%,160,44%,44%,1557,37%,7,14,"[40,60*11,100*2]"
2457,machine_4035,2.4,16,82%,62%,28,90%,88%,617,75%,6,30,"[40,60*27,80,100]"
2457,machine_4037,4.4,8,91%,79%,19,93%,90%,457,81%,7,31,"[40,60*25,80*2,100*3]"
2457,machine_4038,3.6,12,87%,72%,118,59%,58%,1337,46%,7,19,"[40*2,60*16,80]"
2457,machine_4040,2.0,22,76%,58%,83,71%,70%,1177,52%,6,22,"[40*3,60*18,80]"
2457,machine_4041,2.1,10,89%,56%,120,58%,53%,1357,45%,7,14,"[40*2,60*7,100*4,200]"
2457,machine_4042,1.1,41,55%,41%,101,65%,62%,857,65%,6,20,"[40,60*13,80,100*4,300]"
2457,machine_4043,1.0,45,51%,41%,23,92%,90%,390,84%,6,28,"[40,60*23,80,167,200*2]"
2457,machine_4044,3.3,2,98%,68%,71,75%,74%,677,72%,7,22,"[40,60*16,80,100,200*3]"
2457,machine_4046,3.2,0,100%,69%,27,91%,89%,1037,58%,4,23,"[40*3,60*17,80,100*2]"
2457,machine_4048,4.6,2,98%,80%,78,73%,71%,997,59%,6,23,"[40,60*19,80,100*2]"
2457,machine_4049,2.1,16,83%,58%,85,70%,68%,577,77%,7,28,"[40,60*21,80,100*5]"
2457,machine_4050,1.4,28,69%,52%,66,77%,73%,637,74%,7,25,"[40*2,60*18,80*2,100*2,300]"
2457,machine_4053,2.7,12,87%,65%,2,99%,97%,737,70%,7,29,"[40*2,60*26,80]"
2457,machine_4054,1.5,30,67%,51%,64,78%,76%,827,66%,7,24,"[40,60*19,100*3,150]"
2457,machine_4055,1.2,34,63%,44%,17,94%,92%,617,75%,6,29,"[40,60*24,80*2,100*2]"
2457,machine_4056,2.6,9,90%,63%,23,92%,89%,917,63%,6,22,"[40*2,60*16,100*3,200]"
2457,machine_4060,4.3,3,97%,78%,24,92%,89%,57,98%,6,27,"[40*3,60*18,100*4,200,600]"
2457,machine_4061,2.4,21,77%,59%,28,90%,89%,937,62%,7,22,"[40*2,60*16,80,100*2,200]"
2457,machine_4062,1.2,40,57%,48%,23,92%,92%,897,63%,7,25,"[40*5,60*16,100*4]"
2457,machine_4063,1.1,31,66%,46%,53,82%,78%,237,90%,6,27,"[40,60*23,100,200,500]"
2457,machine_4064,1.8,23,75%,55%,96,67%,64%,1177,52%,7,17,"[40,60*13,80,180,200]"
2457,machine_4066,3.3,1,98%,69%,8,97%,95%,257,90%,7,36,"[40*3,60*30,80,100*2]"
2457,machine_4068,2.3,12,86%,58%,87,70%,68%,1487,39%,4,15,"[40*3,60*10,100,150]"
2457,machine_4069,2.1,24,74%,59%,45,84%,82%,697,72%,6,28,"[40,60*24,80,100*2]"
2457,machine_4071,2.7,18,80%,65%,31,89%,85%,477,81%,7,31,"[40,60*26,80,100*3]"
2457,machine_4072,3.6,9,91%,73%,44,85%,82%,447,82%,7,27,"[40,60*19,80,100*5,250]"
2457,machine_4073,1.1,38,59%,46%,48,83%,83%,977,60%,6,24,"[40*3,60*18,80,100*2]"
2457,machine_4074,4.1,3,97%,76%,75,74%,72%,997,59%,7,23,"[60*21,100*2]"
2457,machine_4075,1.7,31,66%,55%,24,92%,89%,597,76%,7,27,"[40*2,60*20,80,100*2,150*2]"
2457,machine_4076,1.7,26,72%,53%,42,85%,84%,567,77%,6,27,"[40*2,60*21,100*2,150,200]"
2457,machine_4077,3.7,4,96%,74%,46,84%,83%,937,62%,6,26,"[40*4,60*21,100]"
2457,machine_4078,2.3,2,97%,61%,119,59%,56%,480,80%,7,17,"[60*11,100*2,150,167,200,600]"
2457,machine_4080,3.1,19,80%,69%,137,53%,50%,1617,34%,6,13,"[40,60*10,100*2]"
2457,machine_4081,1.8,24,74%,56%,65,78%,76%,1177,52%,5,21,"[40*3,60*16,100*2]"
2457,machine_4082,3.4,2,97%,69%,37,87%,85%,597,76%,7,28,"[40,60*23,80*3,200]"
2457,machine_4084,4.1,5,94%,77%,67,77%,73%,717,71%,7,27,"[40*3,60*22,100,200]"
2457,machine_4085,2.3,14,85%,62%,11,96%,95%,317,87%,6,32,"[40*2,60*24,80*4,100,200]"
2457,machine_4087,3.5,17,82%,72%,99,66%,65%,1137,54%,7,21,"[40,60*17,80*2,100]"
2457,machine_4088,3.8,4,95%,74%,23,92%,88%,427,83%,7,32,"[40,60*29,100,150]"
2457,machine_4091,1.8,26,71%,55%,19,93%,93%,897,63%,6,24,"[40*2,60*20,80,200]"
2457,machine_4092,1.9,22,76%,56%,40,86%,85%,977,60%,6,24,"[40*2,60*19,80*2,100]"
2457,machine_4093,4.9,1,99%,82%,45,85%,84%,657,73%,6,26,"[40*2,60*19,80,100*3,200]"
2457,machine_4095,1.1,38,59%,47%,93,68%,67%,697,72%,7,22,"[40*2,60*18,100,500]"
2457,machine_4098,2.5,21,77%,64%,28,90%,86%,317,87%,7,28,"[40*2,60*21,100*2,200*3]"
2457,machine_4100,3.1,17,81%,68%,33,89%,86%,657,73%,7,26,"[40,60*21,80,100,120,200]"
2457,machine_4101,3.6,7,92%,73%,95,67%,66%,1157,53%,7,22,"[40*4,60*16,80,100]"
2457,machine_4102,2.9,12,87%,67%,79,73%,71%,877,64%,5,23,"[40*3,60*16,100*3,200]"
2457,machine_4103,4.5,0,100%,79%,49,83%,83%,917,63%,6,25,"[40*4,60*18,100*3]"
2457,machine_4104,1.8,27,70%,56%,43,85%,84%,340,86%,7,31,"[40,60*26,100*2,150,167]"
2457,machine_4105,3.3,15,84%,71%,26,91%,88%,577,77%,7,32,"[40*3,60*28,80]"
2457,machine_4106,2.9,13,86%,65%,127,56%,55%,1577,36%,6,13,"[40*2,60*10,200]"
2457,machine_4107,3.3,4,95%,70%,76,74%,73%,617,75%,6,25,"[40*2,60*18,80,100*2,200*2]"
2457,machine_4110,3.0,12,87%,68%,15,95%,93%,537,78%,7,31,"[40,60*27,80*2,100]"
2457,machine_4111,2.4,13,86%,62%,107,63%,61%,1557,37%,5,15,"[40*3,60*9,80*3]"
2457,machine_4112,1.6,27,71%,51%,63,78%,77%,697,72%,6,24,"[40,60*19,80,100,200*2]"
2457,machine_4113,1.7,0,100%,51%,134,54%,52%,597,76%,7,20,"[40*3,60*14,150*2,600]"
2457,machine_4114,3.1,11,88%,69%,21,93%,91%,537,78%,7,31,"[40*2,60*26,80,100*2]"
2457,machine_4115,1.9,25,73%,56%,17,94%,93%,737,70%,7,21,"[40*4,60*16,600]"
2457,machine_4116,2.4,22,76%,62%,161,44%,43%,613,75%,7,14,"[40*2,60*9,100*2,1024]"
2457,machine_4117,1.2,30,67%,44%,109,62%,61%,1577,36%,5,15,"[40,60*14]"
2457,machine_4118,2.3,20,79%,62%,113,61%,61%,1357,45%,7,17,"[40,60*13,80,100*2]"
2457,machine_4120,4.2,0,100%,77%,5,98%,97%,917,63%,7,23,"[40*2,60*15,80*2,100*4]"
2457,machine_4121,3.3,13,85%,70%,70,76%,76%,1197,51%,7,22,"[40*3,60*19]"
2457,machine_4122,2.4,17,82%,63%,39,86%,84%,537,78%,6,28,"[60*24,80,100*2,200]"
2457,machine_4123,1.0,75,19%,15%,256,11%,11%,2297,7%,7,3,"[40,60*2]"
2457,machine_4124,3.0,16,83%,67%,60,79%,78%,957,61%,6,23,"[40,60*18,80,100*3]"
2457,machine_4125,4.0,7,92%,76%,49,83%,81%,1007,59%,4,23,"[40*3,60*17,80*2,150]"
2457,machine_4126,4.4,2,98%,78%,22,92%,92%,677,72%,6,28,"[40*6,60*19,100*2,200]"
2457,machine_4127,1.9,13,86%,57%,56,80%,77%,877,64%,6,26,"[40*2,60*22,80,100]"
2457,machine_4128,3.9,8,91%,75%,23,92%,91%,757,69%,7,26,"[40*6,60*16,100*3,200]"
2457,machine_4129,1.6,25,73%,53%,75,74%,73%,677,72%,7,26,"[60*23,100*2,200]"
2457,machine_4131,2.0,13,86%,58%,113,61%,61%,1497,39%,7,12,"[60*8,80,100*2,200]"
2457,machine_4133,2.0,18,81%,57%,24,92%,89%,687,72%,6,28,"[40*2,60*24,100,150]"
2457,machine_4135,3.4,6,93%,71%,10,96%,96%,397,84%,6,32,"[40,60*25,80*4,100*2]"
2457,machine_4136,2.9,12,87%,67%,21,93%,91%,447,82%,6,31,"[40*2,60*25,80,100*2,150]"
2457,machine_4137,2.2,19,80%,61%,23,92%,90%,577,77%,7,28,"[40,60*24,80,120,200]"
2457,machine_4139,3.5,7,93%,72%,31,89%,88%,537,78%,7,30,"[40*4,60*23,80,100,200]"
2457,machine_4140,2.7,14,85%,64%,42,86%,81%,667,73%,7,27,"[40*3,60*19,80,100*3,150]"
2457,machine_4142,3.2,18,80%,69%,38,87%,84%,497,80%,7,31,"[40*3,60*23,80*2,100*3]"
2457,machine_4143,1.9,13,85%,56%,10,97%,95%,917,63%,5,24,"[40,60*20,100*3]"
2457,machine_4146,2.7,10,89%,65%,39,86%,82%,437,82%,6,29,"[60*23,80*3,100*2,200]"
2457,machine_4147,2.0,27,70%,60%,8,97%,96%,417,83%,7,31,"[40*2,60*25,80*2,100,200]"
2457,machine_4149,2.3,20,78%,62%,25,91%,90%,437,82%,7,33,"[40,60*30,80,100]"
2457,machine_4152,3.4,15,84%,71%,91,68%,67%,1237,50%,7,21,"[40*4,60*16,100]"
2457,machine_4153,2.5,20,78%,63%,80,72%,71%,1017,59%,6,22,"[40*3,60*17,100,200]"
2457,machine_4154,1.6,27,71%,51%,72,75%,74%,1017,59%,6,23,"[40,60*20,100*2]"
2457,machine_4155,1.9,24,74%,55%,8,97%,96%,347,86%,6,31,"[40*2,60*25,80,100*2,250]"
2457,machine_4157,3.0,10,89%,66%,46,84%,84%,897,63%,7,26,"[40*4,60*20,100*2]"
2457,machine_4158,1.1,36,61%,40%,71,75%,75%,927,62%,6,22,"[60*18,100*3,150]"
2457,machine_4159,2.4,14,85%,60%,108,63%,63%,1537,37%,6,14,"[60*12,100*2]"
2457,machine_4160,3.5,12,87%,71%,98,66%,65%,1027,58%,6,19,"[40*2,60*12,80,100*2,150,200]"
2457,machine_4161,2.3,20,78%,60%,129,55%,55%,1417,42%,6,17,"[40,60*15,100]"
2457,machine_4162,2.4,19,79%,62%,24,92%,89%,537,78%,6,29,"[40*2,60*24,100*2,200]"
2457,machine_4163,4.4,8,91%,79%,88,69%,66%,1117,55%,7,19,"[40,60*15,100*2,200]"
2457,machine_4164,3.6,1,98%,72%,90,69%,67%,897,63%,7,21,"[40,60*17,100,200*2]"
2457,machine_4165,1.8,22,76%,56%,19,93%,90%,297,88%,6,32,"[40,60*27,80,100,120,200]"
2457,machine_4166,2.0,24,74%,57%,43,85%,83%,777,68%,7,27,"[40,60*23,80*2,100]"
2457,machine_4168,1.2,35,62%,44%,126,56%,54%,1097,55%,7,19,"[40,60*14,80,100*2,200]"
2457,machine_4169,1.4,28,70%,51%,32,89%,87%,617,75%,6,28,"[60*26,80,200]"
2457,machine_4171,2.8,20,78%,66%,51,82%,82%,837,66%,7,26,"[40*3,60*22,180]"
2457,machine_4173,1.9,28,70%,58%,46,84%,82%,647,74%,7,27,"[60*23,80,100*2,150]"
2457,machine_4176,3.0,10,89%,68%,10,97%,95%,617,75%,7,27,"[40,60*19,80*2,100*5]"
2457,machine_4177,4.0,9,90%,76%,63,78%,77%,777,68%,6,27,"[40*3,60*21,100*3]"
2457,machine_4178,4.0,7,92%,76%,67,77%,75%,807,67%,7,25,"[40*4,60*16,80,100*3,150]"
2457,machine_4180,3.2,13,86%,69%,112,61%,61%,1317,46%,7,17,"[40*4,60*10,80,100,200]"
2457,machine_4181,2.4,17,82%,61%,24,92%,91%,657,73%,7,28,"[40*4,60*21,80,100,200]"
2457,machine_4185,3.8,1,99%,74%,54,81%,77%,777,68%,7,25,"[40,60*21,100*2,180]"
2457,machine_4187,2.2,19,79%,59%,102,65%,63%,1047,57%,7,20,"[40,60*14,80,100*3,150]"
2457,machine_4190,2.1,22,77%,60%,68,76%,76%,627,74%,7,28,"[40,60*24,100*2,150]"
2457,machine_4191,3.7,3,96%,73%,54,81%,79%,817,67%,7,25,"[40,60*22,80,200]"
2457,machine_4192,2.5,11,88%,61%,35,88%,87%,837,66%,6,22,"[40,60*18,100,200*2]"
2457,machine_4195,4.0,6,94%,76%,41,86%,85%,937,62%,6,26,"[40*4,60*21,100]"
2457,machine_4196,4.1,4,96%,76%,36,88%,86%,817,67%,6,20,"[40,60*14,80*2,100,200,300]"
2457,machine_4197,3.0,13,86%,68%,21,93%,91%,297,88%,7,31,"[40*2,60*23,100*5,200]"
2457,machine_4198,3.2,16,83%,70%,2,99%,96%,27,99%,7,36,"[60*32,80*2,150,200]"
2457,machine_4202,4.6,4,96%,80%,11,96%,93%,577,77%,7,29,"[40*3,60*21,100*5]"
2457,machine_4203,4.8,3,97%,82%,7,97%,95%,737,70%,5,29,"[40*3,60*25,100]"
2457,machine_4205,2.3,27,71%,62%,60,79%,77%,477,81%,7,21,"[40*3,60*16,300,600]"
2457,machine_4206,1.9,23,75%,56%,13,96%,95%,757,69%,5,28,"[40,60*26,100]"
2457,machine_4209,1.5,23,75%,52%,25,91%,89%,267,89%,6,24,"[40*2,60*18,80,150,300,500]"
2457,machine_4210,2.3,19,80%,60%,26,91%,89%,557,77%,6,29,"[40*2,60*24,80,100,200]"
2457,machine_4211,3.0,0,100%,67%,104,64%,64%,1557,37%,6,12,"[40*2,60*7,100*2,200]"
2457,machine_4212,1.8,27,71%,56%,37,87%,85%,857,65%,6,27,"[40*2,60*24,80]"
2457,machine_4213,3.4,14,85%,71%,55,81%,81%,637,74%,7,25,"[40,60*20,80,100,200*2]"
2457,machine_4214,3.2,13,86%,69%,76,74%,73%,1077,56%,7,22,"[40*5,60*13,100*4]"
2457,machine_4215,4.3,1,99%,78%,60,79%,78%,957,61%,6,24,"[60*22,80,100]"
2457,machine_4217,1.9,27,71%,58%,37,87%,85%,587,76%,7,27,"[40*3,60*20,100*3,250]"
2457,machine_4218,2.2,17,81%,59%,133,54%,53%,1397,43%,7,16,"[60*13,80,100*2]"
2457,machine_4219,1.8,24,74%,56%,63,78%,76%,917,63%,7,25,"[40,60*22,80,100]"
2457,machine_4220,2.3,20,78%,61%,9,97%,94%,397,84%,6,26,"[40*2,60*17,80*2,100*2,150*2,300]"
2457,machine_4221,3.8,5,95%,74%,21,93%,91%,377,85%,7,31,"[40*2,60*25,100*3,200]"
2457,machine_4222,3.0,13,86%,68%,68,76%,74%,977,60%,6,23,"[40,60*19,100*3]"
2457,machine_4224,3.3,5,94%,70%,9,97%,95%,397,84%,7,29,"[40,60*22,100*5,200]"
2457,machine_4225,2.4,14,85%,62%,36,87%,86%,397,84%,7,28,"[40*3,60*24,500]"
2457,machine_4227,1.8,23,75%,54%,108,63%,61%,1677,32%,5,13,"[40*2,60*10,100]"
2457,machine_4228,3.9,10,90%,75%,46,84%,82%,747,70%,7,25,"[40*4,60*13,80*4,100*3,150]"
2457,machine_4229,3.2,10,89%,69%,6,98%,96%,357,85%,6,31,"[40*2,60*27,200*2]"
2457,machine_4230,4.1,7,92%,77%,65,78%,76%,837,66%,7,24,"[40,60*20,80,100,200]"
2457,machine_4231,3.0,11,88%,68%,63,78%,77%,937,62%,7,24,"[40,60*19,80*3,100]"
2457,machine_4232,2.6,16,83%,63%,9,97%,95%,287,88%,5,31,"[40,60*25,80,100*2,150,200]"
2457,machine_4234,3.2,9,90%,69%,87,70%,66%,1397,43%,6,15,"[40,60*9,80,100*4]"
2457,machine_4235,3.7,3,97%,73%,39,87%,86%,277,89%,7,35,"[40,60*31,80,100*2]"
